"","DoNotConflict","ExplicitlyAgree","StrictJointAssertions","SemiStrictJointAssertions","SymmetricDifference","MarczewskiSteinhaus","SteelPenny","QuartetDivergence"
"1",0.922257178305565,0.922257178305565,0.922257178305565,0.922257178305565,0.922257178305565,0.855730290882927,0.922257178305565,0.922257178305565
"2",0.928555181377762,0.928555181377762,0.928555181377762,0.928555181377762,0.928555181377762,0.866638360874042,0.928555181377762,0.928555181377762
"3",0.934135353893418,0.934135353893418,0.934135353893418,0.934135353893418,0.934135353893418,0.876410862585275,0.934135353893418,0.934135353893418
"4",0.912643270707787,0.912643270707787,0.912643270707787,0.912643270707787,0.912643270707787,0.839322778001152,0.912643270707787,0.912643270707787
"5",0.920682677537516,0.920682677537516,0.920682677537516,0.920682677537516,0.920682677537516,0.853023164158026,0.920682677537516,0.920682677537516
"6",0.923899621883493,0.923899621883493,0.923899621883493,0.923899621883493,0.923899621883493,0.858562677489798,0.923899621883493,0.923899621883493
"7",0.936926917168853,0.936926917168853,0.936926917168853,0.936926917168853,0.936926917168853,0.881338199885237,0.936926917168853,0.936926917168853
"8",0.928555181377762,0.928555181377762,0.928555181377762,0.928555181377762,0.928555181377762,0.866638360874042,0.928555181377762,0.928555181377762
"9",0.919108176769467,0.919108176769467,0.919108176769467,0.919108176769467,0.919108176769467,0.850323924204059,0.919108176769467,0.919108176769467
"10",0.921026822639726,0.921026822639726,0.921026822639726,0.921026822639726,0.921026822639726,0.853614197243562,0.921026822639726,0.921026822639726
"11",0.917338709677419,0.917338709677419,0.917338709677419,0.917338709677419,0.917338709677419,0.847299813780261,0.917338709677419,0.917338709677419
"12",0.932656859269762,0.932656859269762,0.932656859269762,0.932656859269762,0.932656859269762,0.873811639087007,0.932656859269762,0.932656859269762
"13",0.918727106227106,0.918727106227106,0.918727106227106,0.918727106227106,0.918727106227106,0.849671818759263,0.918727106227106,0.918727106227106
"14",0.923720902753161,0.923720902753161,0.923720902753161,0.923720902753161,0.923720902753161,0.85825405800045,0.923720902753161,0.923720902753161
"15",0.923020796407893,0.923020796407893,0.923020796407893,0.923020796407893,0.923020796407893,0.857046072319031,0.923020796407893,0.923020796407893
"16",0.921108058608059,0.921108058608059,0.921108058608059,0.921108058608059,0.921108058608059,0.853753766498324,0.921108058608059,0.921108058608059
"17",0.919867363818977,0.919867363818977,0.919867363818977,0.919867363818977,0.919867363818977,0.851624451485246,0.919867363818977,0.919867363818977
"18",0.916740517546969,0.916740517546969,0.916740517546969,0.916740517546969,0.916740517546969,0.846279707121528,0.916740517546969,0.916740517546969
"19",0.929518196856907,0.929518196856907,0.929518196856907,0.929518196856907,0.929518196856907,0.868317606266359,0.929518196856907,0.929518196856907
"20",0.91771239513175,0.91771239513175,0.91771239513175,0.91771239513175,0.91771239513175,0.84793763783654,0.91771239513175,0.91771239513175
